canal,bloco,movimento,min_equiv,visitas,tot_canal,classe,pct_tempo_loja,min_em_8h
CLUB,Abertura,Pegar relatório de estoque para conferência,17.17830113689692,3,1744.0,Apoio e análise,0.009849943312440894,4.727972789971629
CLUB,Check Out,Abastecer seguindo o guia de execução,61.54870685964193,5,1744.0,Execução (agrega valor),0.035291689713097436,16.940011062286768
CLUB,Check Out,Conferir KBD's (Direcionamentos Chaves),50.0135544169081,5,1744.0,Execução (agrega valor),0.028677496798685836,13.765198463369202
CLUB,Check Out,Limpeza dos móveis antes do abastecimento,32.78079143126194,5,1744.0,Execução (agrega valor),0.018796325361962123,9.022236173741819
CLUB,Check Out,Precificar todos os itens,79.08376495859895,5,1744.0,Execução (agrega valor),0.0453461955037838,21.766173841816222
CLUB,Entrada,Chegada à loja (portaria/entrada),58.99274786308142,3,1744.0,Deslocamento e busca,0.0338261168939687,16.236536109104975
CLUB,Entrada,Espera para autorização / cadastro / liberação,127.49274786308146,5,1744.0,Espera e burocracia,0.07310363982974855,35.089747118279305
CLUB,Entrada,Guardar pertences / retirar equipamentos / EPIs,19.182141802475392,4,1744.0,Espera e burocracia,0.010998934519768,5.27948856948864
CLUB,Entrada,Localizar o setor / estoque / responsável,17.63767539931333,4,1744.0,Deslocamento e busca,0.0101133459858448,4.854406073205504
CLUB,Entrada,Registro de entrada (app / sistema do cliente),9.015475135808726,4,1744.0,Espera e burocracia,0.005169423816404086,2.481323431873961
CLUB,Estoque,Deslocamento até o estoque,11.046829657263675,5,1744.0,Deslocamento e busca,0.006334191317238346,3.040411832274406
CLUB,Estoque,Localizar produtos no estoque,16.797422975236024,5,1744.0,Deslocamento e busca,0.009631549871121574,4.623143938138355
CLUB,Estoque,Organização / arrumação do estoque,10.047422975236024,3,1744.0,Apoio e análise,0.005761137027084876,2.7653457730007407
CLUB,Estoque,Retorno ao setor com os produtos,20.139699834590346,5,1744.0,Deslocamento e busca,0.01154799302442107,5.5430366517221135
CLUB,Estoque,Separação de itens para abastecimento,31.243072850463363,4,1744.0,Apoio e análise,0.017914605992238167,8.59901087627432
CLUB,Outras Atividades,Busca de produtos ou materiais em outros setores,37.48745088901064,3,1744.0,Deslocamento e busca,0.021495097986818028,10.317647033672653
CLUB,Outras Atividades,Deslocamento interno dentro da loja,36.069415814384406,3,1744.0,Deslocamento e busca,0.020682004480725005,9.927362150748003
CLUB,Outras Atividades,Leitura de loja (checklist / auditoria),70.09208748048931,4,1744.0,Apoio e análise,0.04019041713330809,19.291400223987885
CLUB,Outras Atividades,Negociação com encarregado / gerente,26.617518044077777,3,1744.0,Apoio e análise,0.015262338328026249,7.325922397452599
CLUB,Outras Atividades,Tratamento de divergências (estoque/preço/validade),37.46364136520111,3,1744.0,Apoio e análise,0.021481445736927243,10.311093953725077
