canal,bloco,movimento,lojas_com_tempo,dur_mediana
DPP,Entrada,Localizar o setor / estoque / responsável,14,1.0
DPP,Entrada,Registro de entrada (app / sistema do cliente),16,4.5
DPP,Estoque,Deslocamento até o estoque,16,3.5
DPP,Estoque,Localizar produtos no estoque,19,4.0
DPP,Estoque,Organização / arrumação do estoque,12,4.0
DPP,Estoque,Retorno ao setor com os produtos,12,1.5
DPP,Estoque,Separação de itens para abastecimento,17,5.0
DPP,Outras Atividades,Busca de produtos ou materiais em outros setores,9,3.0
DPP,Outras Atividades,Deslocamento interno dentro da loja,21,20.0
DPP,Outras Atividades,Leitura de loja (checklist / auditoria),24,30.5
DPP,Outras Atividades,Negociação com encarregado / gerente,10,5.5
DPP,Outras Atividades,Tratamento de divergências (estoque/preço/validade),12,5.0
DPP,Ponto Extra,Abastecer seguindo guia de execução + KBD's,11,2.0
DPP,Ponto Extra,Limpeza do móvel / display,8,5.5
DPP,Ponto Extra,Montagem do display / ponto extra,8,7.5
DPP,Ponto Extra,Precificar todos os itens,8,5.0
DPP,Ponto Natural,Abastecimento e organização (Layout/KBDs etc),19,30.0
DPP,Ponto Natural,Buscar itens faltantes no estoque,11,22.0
DPP,Ponto Natural,Limpeza antes do abastecimento,14,10.5
DPP,Ponto Natural,Precificar todos os itens,13,20.0
DPP,Ponto Natural,Validar estoque virtual,10,8.0
DPP,Saída,Deixar o setor / estoque,7,2.0
DPP,Saída,Deslocamento até a saída da loja,9,2.0
DPP,Saída,Guardar equipamentos / materiais,13,3.0
DPP,Saída,Saída da loja (portaria/catraca),12,3.0
GMR,Abertura,"Conferir encarte, Guia de PDV e MOP",9,5.0
GMR,Abertura,Cumprimentar gerente / encarregado,8,3.0
GMR,Abertura,Identificar pontos de atenção / rupturas,9,10.0
GMR,Abertura,Passar por todas as categorias puxando frentes,10,19.5
GMR,Abertura,Pegar relatório de estoque para conferência,7,11.0
GMR,Check Out,Abastecer seguindo o guia de execução,5,13.0
GMR,Check Out,Conferir KBD's (Direcionamentos Chaves),5,15.0
GMR,Check Out,Limpeza dos móveis antes do abastecimento,5,15.0
GMR,Check Out,Precificar todos os itens,6,17.0
GMR,Entrada,Chegada à loja (portaria/entrada),9,6.0
GMR,Entrada,Espera para autorização / cadastro / liberação,10,2.5
GMR,Entrada,Guardar pertences / retirar equipamentos / EPIs,7,3.0
GMR,Entrada,Localizar o setor / estoque / responsável,8,5.0
GMR,Entrada,Registro de entrada (app / sistema do cliente),9,5.0
GMR,Estoque,Deslocamento até o estoque,10,3.0
GMR,Estoque,Localizar produtos no estoque,10,13.5
GMR,Estoque,Organização / arrumação do estoque,10,15.0
GMR,Estoque,Retorno ao setor com os produtos,8,5.0
GMR,Estoque,Separação de itens para abastecimento,9,6.0
GMR,Outras Atividades,Busca de produtos ou materiais em outros setores,3,5.0
GMR,Outras Atividades,Deslocamento interno dentro da loja,7,20.0
GMR,Outras Atividades,Leitura de loja (checklist / auditoria),4,10.0
GMR,Outras Atividades,Negociação com encarregado / gerente,4,7.0
GMR,Outras Atividades,Tratamento de divergências (estoque/preço/validade),3,5.0
GMR,Ponto Extra,Abastecer seguindo guia de execução + KBD's,7,14.0
GMR,Ponto Extra,Limpeza do móvel / display,7,13.0
GMR,Ponto Extra,Montagem do display / ponto extra,5,20.0
GMR,Ponto Extra,Precificar todos os itens,8,10.5
GMR,Ponto Natural,Abastecimento e organização (Layout/KBDs etc),9,59.0
GMR,Ponto Natural,Buscar itens faltantes no estoque,8,51.0
GMR,Ponto Natural,Limpeza antes do abastecimento,8,23.5
GMR,Ponto Natural,Precificar todos os itens,8,34.5
GMR,Ponto Natural,Validar estoque virtual,6,44.5
GMR,Saída,Deixar o setor / estoque,9,2.0
GMR,Saída,Deslocamento até a saída da loja,9,3.0
GMR,Saída,Guardar equipamentos / materiais,8,5.0
GMR,Saída,Saída da loja (portaria/catraca),7,5.0
HFS,Abertura,"Conferir encarte, Guia de PDV e MOP",9,1.0
HFS,Abertura,Cumprimentar gerente / encarregado,8,2.0
HFS,Abertura,Identificar pontos de atenção / rupturas,8,10.5
HFS,Abertura,Passar por todas as categorias puxando frentes,8,12.0
HFS,Abertura,Pegar relatório de estoque para conferência,9,10.0
HFS,Check Out,Abastecer seguindo o guia de execução,8,27.5
HFS,Check Out,Conferir KBD's (Direcionamentos Chaves),7,8.0
